filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
hair/female/xlongknot,,JaidynReiman,,https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24,,,,
hair/female/xlongknot.png,,JaidynReiman,"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24,,,,OK
hair/male,,,,,,,,,
hair/male/bangs,,Manuel Riecke,,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,,,,,
hair/male/bangs.png,,Manuel Riecke,"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,,,,,OK
hair/male/bangslong,,Manuel Riecke,,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hair/male/bangslong.png,,Manuel Riecke,"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,OK
hair/male/bangslong2,,"Barbara Riviera, Manuel Riecke",,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/concept-art-for-lpc-entry,,,,
hair/male/bangslong2.png,,"Barbara Riviera, Manuel Riecke","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/concept-art-for-lpc-entry,,,,OK
hair/male/bangsshort,,Manuel Riecke,,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hair/male/bangsshort.png,,Manuel Riecke,"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,OK
hair/male/bedhead,,Manuel Riecke,,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,,,,,
hair/male/bedhead.png,,Manuel Riecke,"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,,,,,OK
hair/male/bunches,,"Barbara Riviera, Manuel Riecke",,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/concept-art-for-lpc-entry,,,,
hair/male/bunches.png,,"Barbara Riviera, Manuel Riecke","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/concept-art-for-lpc-entry,,,,OK
hair/male/halfmessy,,"Nila122, Johannes Sjölund (wulax), Stephen Challener (Redshrike)",,https://opengameart.org/content/more-lpc-clothes-and-hair,,,,,
hair/male/halfmessy.png,,"Nila122, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 2.0, GPL 3.0",https://opengameart.org/content/more-lpc-clothes-and-hair,,,,,OK
hair/male/jewfro,,JaidynReiman,,https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24,,,,
hair/male/jewfro.png,,JaidynReiman,"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24,,,,OK
